"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Изменение пользователя - для неавторизованного пользователя изменение поля email возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","269","Авторизация пользователя - c incorrect_email возвращает 401","tests","2025-11-06","passed","2025-11-06","TestLoginUser","test_login_user","",""
"","3158","Создание заказа - успешное создание заказа для авторизованного пользователя с ингредиентом Fluorescent bun R2-D3","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","270","Создание заказа - успешное создание заказа для неавторизованного пользователя с ингредиентом Fluorescent bun R2-D3","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","688","Получение заказов конкретного пользователя -успешное получение заказов для авторизованного пользователя ","tests","2025-11-06","passed","2025-11-06","TestGetOrdersUser","test_get_orders_user","",""
"","267","Изменение пользователя - для авторизованного пользователя успешное изменение поля email","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","266","Создание заказа - успешное создание заказа для неавторизованного пользователя с ингредиентом Beef meteorite (chop)","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","268","Изменение пользователя - для авторизованного пользователя успешное изменение поля name","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","268","Создание заказа - для неавторизованного пользователя с ингредиентом с некорректным id возвращает 500","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","617","Изменение пользователя - после изменения поля email можно успешно авторизоваться","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","270","Создание пользователя - создание пользователя c данными уже существующего пользователя возвращает 403","tests","2025-11-06","passed","2025-11-06","TestCreateUser","test_create_user","",""
"","264","Изменение пользователя - для неавторизованного пользователя изменение поля name возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","269","Авторизация пользователя - c empty_password возвращает 401","tests","2025-11-06","passed","2025-11-06","TestLoginUser","test_login_user","",""
"","614","Изменение пользователя - после изменения поля name можно успешно авторизоваться","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","348","Авторизация пользователя - c empty_email возвращает 401","tests","2025-11-06","passed","2025-11-06","TestLoginUser","test_login_user","",""
"","263","Создание пользователя - без обязательного поля name возвращает 403","tests","2025-11-06","passed","2025-11-06","TestCreateUser","test_create_user","",""
"","263","Изменение пользователя - для неавторизованного пользователя изменение поля password возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","261","Получение заказов конкретного пользователя -для неавторизованного пользователя возвращает 401","tests","2025-11-06","passed","2025-11-06","TestGetOrdersUser","test_get_orders_user","",""
"","270","Создание заказа - успешное создание заказа для неавторизованного пользователя с ингредиентом The meat of the immortal mollusks Protostomia","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","694","Изменение пользователя - после изменения поля password можно успешно авторизоваться","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","3159","Создание заказа - успешное создание заказа для авторизованного пользователя с ингредиентом The meat of the immortal mollusks Protostomia","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","264","Создание пользователя - без обязательного поля email возвращает 403","tests","2025-11-06","passed","2025-11-06","TestCreateUser","test_create_user","",""
"","1","Создание пользователя - успешное создание пользователя при вводе корректных данных","tests","2025-11-06","passed","2025-11-06","TestCreateUser","test_create_user","",""
"","0","Авторизация пользователя - успешная авторизация с корректными данными","tests","2025-11-06","passed","2025-11-06","TestLoginUser","test_login_user","",""
"","346","Авторизация пользователя - c incorrect_password возвращает 401","tests","2025-11-06","passed","2025-11-06","TestLoginUser","test_login_user","",""
"","264","Создание заказа - для неавторизованного пользователя без ингредиентов возвращает 400","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
"","347","Изменение пользователя - для авторизованного пользователя успешное изменение поля password","tests","2025-11-06","passed","2025-11-06","TestChangeUser","test_change_user","",""
"","264","Создание пользователя - без обязательного поля password возвращает 403","tests","2025-11-06","passed","2025-11-06","TestCreateUser","test_create_user","",""
"","3146","Создание заказа - успешное создание заказа для авторизованного пользователя с ингредиентом Beef meteorite (chop)","tests","2025-11-06","passed","2025-11-06","TestCreateOrder","test_create_order","",""
